2026-04-15 16:01:30 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-16 08:20:56 | DEV  | AI_REVIEW   | Whitehouse Tours SSO                    | no_oin    | Whitehouse Tours SSO is a Senate/government-specific custom application for tour scheduling with no OIN equivalent.
2026-04-16 08:40:43 | PROD | SCAN        | 116 SAML apps                           | ok        | candidates=51 no_match=63 already_oin=2 inactive=0 legacy=0 replaced=0
2026-04-16 08:45:39 | PROD | SCAN        | 116 SAML apps                           | ok        | candidates=51 no_match=63 already_oin=2 inactive=0 legacy=0 replaced=0
2026-04-16 08:45:56 | DEV  | AI_REVIEW   | GitLab SSO                              | confirmed | GitLab — Single verified OIN candidate matches the GitLab SSO app; no government-specific variant exists for GitLab.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Adaptive SSO                            | suggested | Adaptive Insights — Adaptive SSO almost certainly refers to Adaptive Insights (Workday financial planning); adaptiveinsights is the SAML variant vs. adaptiveplanning which is SWA only.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Adaptive SSO - Admin                    | suggested | Adaptive Insights — Admin portal for same Adaptive Insights product; same reasoning as Adaptive SSO — SAML OIN key is adaptiveinsights.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Adobe Cloud Services                    | review_nee| Label 'Adobe Cloud Services' is ambiguous — could be Adobe Creative Cloud, Adobe Document Cloud, or Adobe Sign; none of the provided candidates match and the correct OIN app must be identified.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Adobe Connect                           | confirmed | Adobe Connect — Exact name match, verified OIN app.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Adobe Connect (test)                    | confirmed | Adobe Connect — Test instance of Adobe Connect — same product, same OIN app; test suffix does not change the integration.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | AlertMedia                              | confirmed | AlertMedia — Exact name match, verified OIN app.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Asana                                   | confirmed | Asana — Exact name match, verified OIN app.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Box Enterprise Plus                     | confirmed | Box — Box Enterprise Plus is a licensing tier of Box — the OIN app boxnet covers all Box editions.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Carbon Black ER                         | suggested | VMware Carbon Black Cloud — Carbon Black ER (Endpoint Response) is the legacy on-prem EDR product; VMware Carbon Black Cloud (PSC) is the closest verified OIN match — verify whether the Senate instance is Cloud vs. on-prem EDR before finalizing.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Carbon Black ER DEV                     | suggested | VMware Carbon Black Cloud — DEV environment of Carbon Black ER — same product determination as the production instance; verify Cloud vs. on-prem EDR distinction.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Cisco Webex Control Hub                 | review_nee| None of the provided candidates match Cisco Webex Control Hub — the correct OIN app is Cisco Webex (separate from ASA VPN, Cloudlock, and Meraki); human must locate the Webex-specific OIN key.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | CSOD-Pilot                              | confirmed | Cornerstone OnDemand — CSOD is the well-known abbreviation for Cornerstone OnDemand; exact OIN match, verified.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | CSOD-PILOT-FED                          | confirmed | Cornerstone OnDemand — CSOD-PILOT-FED is a federal pilot environment of Cornerstone OnDemand; same OIN app regardless of environment suffix.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | CSOD-STG                                | confirmed | Cornerstone OnDemand — CSOD-STG is the staging environment of Cornerstone OnDemand; same OIN app.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | CSOD-STG-FED                            | confirmed | Cornerstone OnDemand — CSOD-STG-FED is the federal staging environment of Cornerstone OnDemand; same OIN app.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | CSOD-TAM                                | confirmed | Cornerstone OnDemand — CSOD-TAM is a tenant/account manager environment of Cornerstone OnDemand; same OIN app.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | CSODFed-TAM                             | confirmed | Cornerstone OnDemand — CSODFed-TAM is the federal TAM environment of Cornerstone OnDemand; same OIN app.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Duo Admin Portal                        | suggested | Duo Admin Panel — Duo Admin Portal maps to Duo Admin Panel OIN app; choose duoadminpanelencrypted instead if the Senate's Duo configuration uses encrypted SAML assertions.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | Everlaw                                 | confirmed | Everlaw — Exact name match, verified OIN app.
2026-04-16 08:47:30 | DEV  | AI_REVIEW   | GCP Production                          | confirmed | Google Cloud Platform — GCP Production maps exactly to the Google Cloud Platform OIN app (key=cloudconsole); verified.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | GitLab SSO                              | confirmed | GitLab — Verified OIN app is the standard GitLab SAML SSO integration; strong match despite label including 'SSO'.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Kronos                                  | review_nee| Kronos Customer Portal — Only candidate is the Kronos vendor support portal, but Senate likely uses Kronos for workforce/time management — needs human confirmation this is the correct product.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Lookout                                 | confirmed | Lookout — Verified OIN app with exact name match.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | PeopleSoft (SandBox)                    | no_oin    | PeopleSoft is on-premises Oracle software with custom SAML config; all candidates are third-party security proxies, not a native PeopleSoft OIN integration.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Quill                                   | confirmed | Quill — Verified OIN app with exact name match.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Quill Staging                           | confirmed | Quill — Staging instance of Quill maps to the same verified OIN template as production.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | SailPoint                               | suggested | SailPoint IdentityIQ — Label 'SailPoint' is ambiguous between IdentityIQ (on-prem) and IdentityNow (cloud); given Senate's on-prem posture IdentityIQ is most likely, but verify before migrating.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Salesforce                              | confirmed | Salesforce.com — Salesforce.com (key=salesforce) is the correct core CRM OIN app; all other candidates are adjacent Salesforce products.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | SAML Tester                             | no_oin    | SAML Tester is a diagnostic/utility app with no OIN equivalent; candidates are unrelated real products.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | SANS ACLP                               | suggested | SAP Litmos — SANS Institute uses SAP Litmos as its LMS backend; ACLP likely runs on Litmos, but confirm with SANS vendor documentation before migrating.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | SANS Training - Litmos                  | confirmed | SAP Litmos — Label explicitly names Litmos; verified OIN app is an unambiguous match.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Sentry                                  | confirmed | Sentry — Verified OIN app with exact name match.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | ServiceNow - Dev                        | suggested | ServiceNow — None of the listed candidates are the core ServiceNow ITSM platform; the primary Okta OIN ServiceNow app (key=servicenow) was not surfaced by the migration tool and should be used instead.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | ServiceNow - Eval                       | suggested | ServiceNow — Eval instance — same issue as Dev; core ServiceNow OIN app (key=servicenow) not among candidates, use it instead.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | ServiceNow - Prod                       | suggested | ServiceNow — Production instance — same issue as Dev/Eval; core ServiceNow OIN app (key=servicenow) not among candidates, use it instead.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | ServiceNow - Staging                    | suggested | ServiceNow — Staging instance — same issue as other ServiceNow instances; core ServiceNow OIN app (key=servicenow) not among candidates, use it instead.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Singlewire                              | confirmed | Singlewire InformaCast — Singlewire InformaCast is the sole product from Singlewire; verified OIN app is a clear match to the company-name label.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Symplicity                              | suggested | Symplicity — Exact name match but OIN app is unverified; confirm Symplicity is the expected vendor before migrating.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Symplicity - Booker                     | suggested | Symplicity — Instance-specific label for Symplicity (Booker); maps to same unverified OIN app as the base Symplicity entry — confirm vendor before migrating.
2026-04-16 08:49:07 | DEV  | AI_REVIEW   | Symplicity - Fischer                    | suggested | Symplicity — Instance-specific label for Symplicity (Fischer); maps to same unverified OIN app as the base Symplicity entry — confirm vendor before migrating.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | Symplicity - Heinrich                   | confirmed | Symplicity — Exact name match to Symplicity OIN app; senator-specific instance of the same platform.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | Symplicity - Kaine                      | confirmed | Symplicity — Exact name match to Symplicity OIN app; senator-specific instance of the same platform.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | Symplicity - Markey                     | confirmed | Symplicity — Exact name match to Symplicity OIN app; senator-specific instance of the same platform.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | Symplicity - Tester                     | confirmed | Symplicity — Exact name match to Symplicity OIN app; senator-specific instance of the same platform.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | Sympliciy - Warren                      | confirmed | Symplicity — Label typo ('Sympliciy') but unambiguously the same Symplicity platform; exact OIN match confirmed.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | UCC-Cisco-UCCE                          | no_oin    | Cisco UCCE (Unified Contact Center Enterprise) has no OIN template; none of the matched Cisco candidates correspond to this product.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | UCC-CUCM                                | no_oin    | Cisco CUCM (Unified Communications Manager) has no OIN template; none of the matched Cisco candidates correspond to this product.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | UKG Kronos_Test                         | suggested | UKG Ready — Kronos rebranded to UKG; UKG Ready is the probable OIN equivalent but needs confirmation this instance is the Ready product line and not UKG Pro.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | Webex Control Hub (FEDRamp)             | review_nee| No FedRAMP-specific Webex Control Hub OIN candidate exists; human must confirm whether ciscocommonidentity covers the Control Hub FedRAMP endpoint or a custom app is required.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | Webex Meetings                          | confirmed | Cisco Webex Meetings — Exact product match to the Cisco Webex Meetings verified OIN app.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | Zoom                                    | confirmed | Zoom for Government — Federal government org — verified Zoom for Government OIN variant is preferred over plain Zoom per policy.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | *SAML Test App #1                       | no_oin    | SAML test app used for integration validation; no OIN equivalent exists or is appropriate.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | AgilQuest                               | no_oin    | AgilQuest is a niche workplace hoteling platform with no known Okta OIN template.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | CE Services                             | no_oin    | CE Services is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Casey-it01  | no_oin    | ComputerWorks InterTrac is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Reed-it01   | no_oin    | ComputerWorks InterTrac is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Reed-it02   | no_oin    | ComputerWorks InterTrac is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Schumer-it01| no_oin    | ComputerWorks InterTrac is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Sinema-it01 | no_oin    | ComputerWorks InterTrac is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:50:16 | DEV  | AI_REVIEW   | DataPointer SSO                         | no_oin    | DataPointer is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | Democratic Cloakroom VPS (JEMNS)        | no_oin    | Known Senate-specific app (Democratic Cloakroom / JEMNS) with no OIN equivalent.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | Disbursing GRB SSO                      | no_oin    | GRB is a known Senate-specific disbursing system with no OIN equivalent.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | ECM                                     | no_oin    | ECM is too generic to map without more context and is likely an on-prem or Senate-specific content management system.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | Exiger                                  | no_oin    | Exiger is a niche third-party risk and compliance platform with no known OIN app in Okta's catalog.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | iConstituent                            | no_oin    | iConstituent is a known Senate-specific custom instance with no OIN equivalent.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | iConstituent - Legacy                   | no_oin    | iConstituent legacy instance — same reasoning as primary; known Senate-specific custom app.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | Infodesk SSO                            | no_oin    | Infodesk is a niche news intelligence service with no known OIN app in Okta's catalog.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | IPTV                                    | no_oin    | IPTV is a known Senate-specific internal broadcast system with no OIN equivalent.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | IPTV - Testing server                   | no_oin    | IPTV testing server — same reasoning as primary IPTV; Senate-specific with no OIN equivalent.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | JEMNS SSO                               | no_oin    | JEMNS is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | KeyCloak Vyopta SSO                     | no_oin    | This appears to be a custom SAML chain through Keycloak to Vyopta; no standalone Vyopta OIN app is known and the Keycloak layer makes direct OIN substitution inappropriate.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | Kronos_Test                             | suggested | UKG Dimensions — Kronos was rebranded to UKG; UKG Dimensions (formerly Kronos Workforce) has a verified OIN app — verify whether the Senate uses Workforce Central, Dimensions, or UKG Pro to pick the right variant.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | Law360                                  | no_oin    | Law360 is a LexisNexis legal news service with no known dedicated OIN app; SSO is typically handled via the parent LexisNexis entitlement.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | Lexis Advance                           | suggested | LexisNexis — LexisNexis (Lexis Advance / Lexis+) has OIN presence; confirm the exact app key against the catalog as the product has been renamed to Lexis+.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | LFTS2 (Kiteworks)                       | suggested | Kiteworks — Kiteworks (formerly Accellion) has a verified OIN app; the LFTS2 label is a Senate instance name, not a different product.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | MATT-Openshift                          | no_oin    | MATT-Openshift is a known Senate-specific Red Hat OpenShift deployment with no OIN equivalent.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | MoveSpring                              | no_oin    | MoveSpring is a niche corporate wellness/step-challenge app with no known OIN app in Okta's catalog.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | OneStream                               | suggested | OneStream — OneStream Software is a significant enterprise CPM platform that has OIN representation; verify the exact app key in the catalog before migrating.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | Otis QA                                 | no_oin    | Otis QA is ambiguous — could be an elevator/facilities vendor test env or an internal system; insufficient signal to map to an OIN app.
2026-04-16 08:51:05 | DEV  | AI_REVIEW   | PageFlex                                | no_oin    | PageFlex is a known Senate-specific application with no OIN equivalent.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | PageProof SSO                           | suggested | PageProof — PageProof is an enterprise creative proofing platform with a known Okta SAML integration; verify OIN key before applying.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | Privacy Bee                             | no_oin    | Privacy Bee is a consumer-oriented data removal service with no known enterprise OIN integration.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | SAAOnCall Staging                       | no_oin    | SAAOnCall is a known Senate-specific app with no OIN equivalent.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | SC Logic SSO                            | no_oin    | SC Logic is a niche mailroom/logistics management platform with no known OIN integration.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | Senate Library LS2                      | no_oin    | Senate Library is a known Senate-specific system with no OIN equivalent.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | SLC leg server: POC Thom Cole           | no_oin    | SLC leg server is a known Senate-specific system with no OIN equivalent.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | SnapStream                              | no_oin    | SnapStream is a known Senate-specific app with no OIN equivalent.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | Soap                                    | no_oin    | SOAP is a known Senate-specific app with no OIN equivalent.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | StackOverFlowForTeams                   | suggested | Stack Overflow for Teams — Stack Overflow for Teams has a documented Okta SAML integration; confirm OIN key in catalog before applying.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | Survey                                  | review_nee| Label 'Survey' is too generic to identify the product — could be SurveyMonkey, Qualtrics, Alchemer, or a custom form; human must identify the actual vendor.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | Survey                                  | review_nee| Duplicate 'Survey' label with no distinguishing detail; human must identify the actual vendor before any OIN match can be made.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | TalentComp                              | no_oin    | TalentComp appears to be a niche or proprietary compensation management tool with no known OIN integration.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | UCC-Cisco-Expressway-1                  | suggested | Cisco Expressway — Cisco Expressway supports SAML SSO and has a known Okta integration; all four Expressway instances would share the same OIN template.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | UCC-Cisco-Expressway-2                  | suggested | Cisco Expressway — Second Expressway instance — same OIN template as UCC-Cisco-Expressway-1.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | UCC-Cisco-Expressway-3                  | suggested | Cisco Expressway — Third Expressway instance — same OIN template as UCC-Cisco-Expressway-1.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | UCC-Cisco-Expressway-4                  | suggested | Cisco Expressway — Fourth Expressway instance — same OIN template as UCC-Cisco-Expressway-1.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | UCC-CUC-A                               | suggested | Cisco Unity Connection — Cisco Unity Connection supports SAML SSO and has a known Okta integration; all four CUC instances would share the same OIN template.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | UCC-CUC-B                               | suggested | Cisco Unity Connection — CUC-B instance — same OIN template as UCC-CUC-A.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | UCC-CUC-C                               | suggested | Cisco Unity Connection — CUC-C instance — same OIN template as UCC-CUC-A.
2026-04-16 08:51:46 | DEV  | AI_REVIEW   | UCC-CUC-D                               | suggested | Cisco Unity Connection — CUC-D instance — same OIN template as UCC-CUC-A.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | UCC-CUCM-IM&P                           | no_oin    | Cisco CUCM IM&P is on-premises UC infrastructure with no Okta OIN SAML template.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | UCC-HelpOne-UNX-1                       | no_oin    | HelpOne is not a recognized enterprise SaaS product with a known OIN listing.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | UCC-HelpOne-UNX-2                       | no_oin    | HelpOne is not a recognized enterprise SaaS product with a known OIN listing.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | UCC-Imagicle                            | no_oin    | Imagicle is a niche Cisco UC add-on suite with no known Okta OIN app.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | UCC-LineOne-UNX-1                       | no_oin    | LineOne is not a recognized enterprise SaaS product with a known OIN listing.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | UCC-LineOne-UNX-2                       | no_oin    | LineOne is not a recognized enterprise SaaS product with a known OIN listing.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | UCC-Vyopta                              | no_oin    | Vyopta is a niche UC analytics/monitoring tool with no known Okta OIN app.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | Veritone                                | no_oin    | Veritone is an AI media/analytics platform with no known Okta OIN SAML template.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | Wall Street Journal                     | no_oin    | Wall Street Journal enterprise access has no known OIN app in Okta's catalog.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | WebEOC                                  | no_oin    | WebEOC is explicitly identified as a Senate-specific app with no OIN equivalent.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | WebScribble SSO                         | no_oin    | WebScribble is a niche digital publishing platform with no known OIN app.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | WellBeing SSO                           | no_oin    | WellBeing SSO is ambiguous with no clear enterprise product mapping to an OIN app.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | WestlawNext                             | suggested | WestlawNext — Thomson Reuters Westlaw is a major enterprise legal research platform with a known Okta OIN integration; verify exact OIN key before applying.
2026-04-16 08:52:19 | DEV  | AI_REVIEW   | Whitehouse Tours SSO                    | no_oin    | White House Tours is a Senate-specific internal government workflow app with no OIN equivalent.
2026-04-16 09:06:58 | PROD | SCAN        | 116 SAML apps                           | ok        | candidates=51 no_match=63 already_oin=2 inactive=0 legacy=0 replaced=0
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Adaptive SSO                            | suggested | Adaptive Insights — Adaptive SSO almost certainly refers to Adaptive Insights (now Workday Adaptive Planning); Adaptive Shield is an unrelated SSPM product.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Adaptive SSO - Admin                    | suggested | Adaptive Insights — Admin portal variant of the same Adaptive Insights integration; same reasoning as the base app.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Adobe Cloud Services                    | suggested | Adobe Creative Cloud — Adobe Cloud Services is the Creative Cloud umbrella suite; best available OIN match, though app is unverified.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Adobe Connect                           | suggested | Adobe Connect — Adobe Connect is a distinct web conferencing product with its own OIN app; the staged candidate (Creative Cloud) is the wrong product entirely.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Adobe Connect (test)                    | suggested | Adobe Connect — Test environment of the same Adobe Connect integration; same reasoning as the production app.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | AlertMedia                              | confirmed | AlertMedia — Exact name match, verified OIN app.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Asana                                   | confirmed | Asana — Exact name match, verified OIN app.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Box Enterprise Plus                     | confirmed | Box — Box Enterprise Plus is the enterprise SKU of Box; verified OIN app covers all editions.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Carbon Black ER                         | confirmed | VMware Carbon Black Cloud — Carbon Black ER (Endpoint Response) maps directly to VMware Carbon Black Cloud; Carbon Voice is unrelated.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Carbon Black ER DEV                     | confirmed | VMware Carbon Black Cloud — DEV environment of Carbon Black ER; same product, same OIN app.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Cisco Webex Control Hub                 | suggested | Cisco Webex — Webex Control Hub is the admin console for Cisco Webex, which has its own OIN app; none of the staged candidates match this product.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | CSOD-Pilot                              | confirmed | Cornerstone OnDemand — CSOD is the standard abbreviation for Cornerstone OnDemand; verified OIN exact match.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | CSOD-PILOT-FED                          | confirmed | Cornerstone OnDemand — FED-labeled pilot variant of CSOD; same OIN app applies.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | CSOD-STG                                | confirmed | Cornerstone OnDemand — Staging environment of CSOD; same OIN app applies.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | CSOD-STG-FED                            | confirmed | Cornerstone OnDemand — FED-labeled staging variant of CSOD; same OIN app applies.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | CSOD-TAM                                | confirmed | Cornerstone OnDemand — TAM-labeled CSOD instance; same OIN app applies.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | CSODFed-TAM                             | confirmed | Cornerstone OnDemand — FED TAM-labeled CSOD instance; same OIN app applies.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Duo Admin Portal                        | review_nee| Two valid Duo Admin Panel OIN variants exist (standard vs. encrypted assertions); human must determine whether assertion encryption is required.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | Everlaw                                 | confirmed | Everlaw — Exact name match, verified OIN app.
2026-04-16 09:08:02 | DEV  | AI_REVIEW   | GCP Production                          | confirmed | Google Cloud Platform — Exact match for Google Cloud Platform, verified OIN app.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | GitLab SSO                              | confirmed | GitLab — Verified OIN app is the canonical GitLab SAML SSO integration; only candidate and a clear match.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | Kronos                                  | suggested | Kronos SAML — Kronos SAML is the correct match for a standard Kronos workforce management deployment; SaaShr is a different payroll product line, and neither candidate is verified so confirm before migrating.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | Lookout                                 | suggested | Lookout Secure Access — Verified candidate covers Lookout's SASE/SSE product, but label 'Lookout' is ambiguous — confirm the Senate deployment is specifically Lookout Secure Access and not Lookout Mobile Endpoint Security, which would have a different OIN entry.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | PeopleSoft (SandBox)                    | review_nee| All three candidates are security overlay platforms (Appsian, Datawiza) that proxy PeopleSoft — none represent PeopleSoft's native SAML SSO; human must locate the correct Oracle PeopleSoft OIN app.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | Quill                                   | confirmed | Quill — Exact match, verified OIN app.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | Quill Staging                           | confirmed | Quill — Same verified Quill OIN app; staging instance uses the same template.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | SailPoint                               | confirmed | SailPoint IdentityIQ — SailPoint IdentityIQ is SailPoint's primary IGA product and the only verified candidate — clear match.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | Salesforce                              | confirmed | Salesforce.com — Salesforce.com (key=salesforce) is the canonical OIN app for the core Salesforce platform; all other candidates are distinct products (Heroku, Marketing Cloud, Customer Portal).
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | SAML Tester                             | no_oin    | SAML Tester is an internal diagnostic/testing app; all candidates are unrelated products that happen to have 'SAML' in their name.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | SANS ACLP                               | review_nee| SANS ACLP (likely a leadership/advanced program portal) does not obviously run on SAP Litmos — the sibling app 'SANS Training - Litmos' already maps Litmos; confirm whether ACLP uses a separate portal before applying the same template.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | SANS Training - Litmos                  | confirmed | SAP Litmos — Label explicitly names Litmos, and SAP Litmos is the verified OIN match.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | Sentry                                  | confirmed | Sentry — Exact match, verified OIN app.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | ServiceNow - Dev                        | suggested | ServiceNow — The Five9 candidate is a CTI adapter that integrates with ServiceNow, not ServiceNow itself — the correct OIN app is key=servicenow.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | ServiceNow - Eval                       | suggested | ServiceNow — Same as ServiceNow - Dev; Five9 candidate is incorrect, use key=servicenow.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | ServiceNow - Prod                       | suggested | ServiceNow — Same as ServiceNow - Dev; Five9 candidate is incorrect, use key=servicenow.
2026-04-16 09:09:15 | DEV  | AI_REVIEW   | ServiceNow - Staging                    | suggested | ServiceNow — Same as ServiceNow - Dev; Five9 candidate is incorrect, use key=servicenow.
